10,25,17,29
20,66.7333,57,76
30,115.733,96,129
40,175.867,159,198
50,235.6,218,254
60,294.6,258,347
70,361.8,323,407
80,442.733,380,489
90,491.667,454,542
100,586.533,526,629
110,662.8,593,704
120,739.933,676,809
130,817.467,735,887
140,921.867,849,981
150,1008.6,864,1107
160,1117.2,998,1199
170,1180.87,1073,1274
180,1303.73,1191,1412
190,1368.27,1301,1457
200,1471.4,1321,1564
210,1593.13,1496,1717
220,1667.67,1509,1803
230,1822.13,1680,1985
240,1908.13,1752,2086
250,2030.6,1902,2148
260,2149.4,2080,2217
270,2231.93,2058,2374
280,2345.93,2162,2578
290,2461.93,2212,2674
300,2592.4,2451,2742
310,2730.6,2494,2955
320,2818.73,2555,3130
330,2955.4,2724,3111
340,3083.2,2852,3288
350,3178.33,3031,3344
360,3316.2,3108,3533
370,3427.07,3164,3693
380,3602.87,3442,3833
390,3746.53,3575,3962
400,3836.67,3515,4142
410,3962.07,3606,4172
420,4085,3794,4369
430,4256.27,3965,4579
440,4418.87,4116,4682
450,4466.6,4295,4644
460,4710.07,4457,4942
470,4853.4,4690,5102
480,4941.4,4658,5262
490,5078.87,4787,5519
500,5277.33,4864,5578
510,5355.07,5003,5550
520,5452.53,5171,5999
530,5680.47,5344,6204
540,5846.27,5612,6191
550,5998.6,5624,6359
560,6099.73,5863,6515
570,6196.07,5987,6491
580,6380.4,6090,6757
590,6492.87,6088,6932
600,6746.47,6483,7074
